2.0856-2.0557i
2.1069-1.9366i
2.2683-1.949i
2.2778-1.9339i
2.2717-1.8812i
2.3214-1.8254i
2.3828-1.7716i
2.3705-1.7351i
2.433-1.7365i
2.439-1.6926i
2.4807-1.6265i
2.5085-1.588i
2.5301-1.5514i
2.5561-1.4844i
2.582-1.4484i
2.6052-1.3989i
2.625-1.3409i
2.6534-1.2975i
2.6628-1.2534i
2.6941-1.1982i
2.6925-1.1397i
2.7108-1.0748i
2.7127-1.0252i
2.7241-0.96396i
2.7394-0.94253i
2.7526-0.87253i
2.7534-0.82293i
2.7533-0.79029i
2.7577-0.73777i
2.7689-0.67562i
2.7673-0.62247i
2.7578-0.57786i
2.7804-0.52459i
2.7221-0.50521i
2.7398-0.47153i
2.7271-0.4115i
2.7339-0.32812i
2.7245-0.32908i
2.6943-0.2422i
2.6971-0.2036i
2.6873-0.17617i
2.6859-0.15447i
2.6781-0.05558i
2.6946-0.044599i
2.6719-0.004512i
2.6252+0.016487i
2.612+0.061937i
2.5788+0.079904i
2.6326+0.11114i
2.5774+0.14943i
2.5539+0.20254i
2.5428+0.19909i
2.5334+0.25258i
2.5263+0.28581i
2.4864+0.31302i
2.4838+0.37828i
2.4687+0.35097i
2.4865+0.387i
2.4319+0.41734i
2.414+0.42223i
2.428+0.46622i
2.4055+0.47267i
2.3981+0.48284i
2.388+0.51839i
2.3767+0.56532i
2.3733+0.58101i
2.3551+0.57163i
2.3472+0.6001i
2.3432+0.62927i
2.3375+0.64276i
2.3404+0.66444i
2.3417+0.68988i
2.3391+0.69373i
2.3456+0.71579i
2.3517+0.72447i
2.3657+0.73952i
2.3909+0.7596i
2.4255+0.77707i
2.4565+0.7856i
2.4786+0.79053i
2.5257+0.81701i
2.6433+0.8094i
2.8104+0.80582i
2.9074+0.81956i
3.1925+0.80985i
3.5876+0.79552i
7.1952+0.58138i
6.525+0.69013i
6.6699+0.71523i
-4.4066+1.3083i
-1.2907+1.1391i
-1.0352+1.1177i
0.12361+1.076i
0.28759+1.074i
0.26666+1.0773i
0.55725+1.0725i
0.71845+1.0764i
0.68024+1.0792i
0.84034+1.0836i
0.81964+1.0931i
0.85249+1.0936i
0.90674+1.1043i
0.94025+1.114i
0.95585+1.1126i
0.97289+1.1214i
0.96949+1.1232i
0.96543+1.1321i
0.96558+1.137i
0.96162+1.1434i
0.96271+1.1532i
0.97231+1.1547i
0.96423+1.1588i
0.96633+1.1659i
0.95246+1.1756i
0.95958+1.1787i
0.94108+1.1854i
0.933+1.1919i
0.93374+1.1928i
0.91976+1.198i
0.9161+1.2025i
0.89827+1.2123i
0.89734+1.212i
0.88169+1.2205i
0.87319+1.2226i
0.86521+1.2275i
0.85379+1.2304i
0.84767+1.2339i
0.82755+1.2444i
0.82649+1.2411i
0.81608+1.2445i
0.80088+1.2518i
0.7924+1.2523i
0.78389+1.2547i
0.77514+1.2574i
0.75609+1.2656i
0.75014+1.2649i
0.73728+1.2699i
0.72813+1.271i
0.71348+1.2759i
0.69883+1.2814i
0.69364+1.2787i
0.68069+1.2825i
0.67642+1.2805i
0.66056+1.2857i
0.64463+1.2906i
0.63404+1.2919i
0.62199+1.2937i
0.61531+1.2944i
0.60143+1.2966i
0.59186+1.2975i
0.57988+1.2993i
0.56804+1.3005i
0.55824+1.3019i
0.54684+1.3029i
0.5333+1.3047i
0.51831+1.309i
0.51108+1.307i
0.49867+1.308i
0.48847+1.309i
0.47323+1.3111i
0.4645+1.3105i
0.45393+1.3111i
0.44247+1.3115i
0.43458+1.3128i
0.42024+1.3137i
0.41204+1.3138i
0.39838+1.3123i
0.38344+1.3156i
0.37448+1.3154i
0.36286+1.3166i
0.35664+1.3125i
0.34346+1.3149i
0.32985+1.3169i
0.31667+1.3146i
0.30678+1.315i
0.2987+1.3136i
0.28411+1.3144i
0.27672+1.3117i
0.26613+1.3128i
0.25314+1.311i
0.24093+1.31i
0.23445+1.3102i
0.22476+1.3084i
0.21675+1.3074i
0.19834+1.3077i
0.19157+1.3039i
0.17941+1.304i
0.17025+1.3031i
0.16208+1.3023i
0.14926+1.3016i
0.13707+1.2992i
0.1276+1.3001i
0.11463+1.2959i
0.10367+1.295i
0.095926+1.2932i
0.084809+1.2907i
0.073549+1.288i
0.065309+1.2882i
0.053287+1.2851i
0.044268+1.2838i
0.033424+1.2824i
0.024849+1.2807i
0.014747+1.2767i
0.0024455+1.2738i
-0.0088826+1.273i
-0.015921+1.2703i
-0.02481+1.2695i
-0.038942+1.2641i
-0.046688+1.2629i
-0.054106+1.2615i
-0.065057+1.259i
-0.074675+1.2555i
-0.082152+1.252i
-0.09051+1.2499i
-0.10523+1.2472i
-0.11481+1.2426i
-0.12407+1.2403i
-0.13166+1.2364i
-0.13888+1.2345i
-0.15246+1.2303i
-0.15931+1.2292i
-0.16733+1.2262i
-0.17809+1.2224i
-0.18799+1.2184i
-0.19499+1.2147i
-0.20959+1.2118i
-0.21402+1.2081i
-0.22471+1.2044i
-0.23326+1.2001i
-0.24265+1.1981i
-0.2514+1.1941i
-0.25888+1.1906i
-0.26834+1.1855i
-0.27844+1.1841i
-0.28754+1.1792i
-0.29379+1.1742i
-0.30494+1.1708i
-0.31359+1.1664i
-0.31915+1.1624i
-0.32788+1.1573i
-0.33813+1.1528i
-0.34626+1.1483i
-0.35474+1.1454i
-0.36372+1.1397i
-0.37079+1.136i
-0.37857+1.1332i
-0.38562+1.129i
